timestamp,hostname,os_name,interval_seconds,cpu_percent,memory_percent,swap_percent,process_count,user_process_count,new_process_count,thread_count,open_file_count,connection_count,established_count,listen_count,remote_ip_count,remote_port_count,uncommon_remote_port_count,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
1784473611.8075082,Maxim9012,Windows,5.0,16.8,59.6,1.1,295,142,0,4990,3024,216,88,53,47,41,38,3702.4,6817.2,24.2,39.6
1784473637.4355552,Maxim9012,Windows,5.0,14.4,58.4,1.1,295,142,0,4993,3036,215,90,53,46,41,38,7436.8,11578.2,46.6,60.6
1784473663.4007666,Maxim9012,Windows,5.0,16.9,59.3,1.1,297,143,2,5005,3045,213,90,53,45,41,38,2454.4,3722.4,22.0,29.8
1784473689.2110314,Maxim9012,Windows,5.0,13.5,58.1,1.1,296,142,0,4986,3024,215,89,53,46,41,38,4316.8,5538.0,30.8,39.0
1784473714.9425879,Maxim9012,Windows,5.0,17.7,59.8,1.1,301,147,5,5093,3081,216,90,53,46,41,38,5818.0,6319.8,34.8,46.2
1784473741.111735,Maxim9012,Windows,5.0,14.2,58.0,1.1,294,142,0,4993,3024,219,93,53,50,42,39,8686.2,26764.8,43.6,66.2
1784473766.5750575,Maxim9012,Windows,5.0,15.2,57.9,1.1,295,143,1,5089,3040,221,94,53,51,42,39,8163.4,10057.4,48.6,56.8
1784473792.7241514,Maxim9012,Windows,5.0,16.4,59.4,1.1,301,149,6,5233,3094,220,92,53,49,41,38,4125.8,5188.2,30.0,39.0
1784473819.1901631,Maxim9012,Windows,5.0,14.2,58.1,1.1,297,144,3,5127,3035,219,92,53,49,41,38,18040.4,36055.2,73.2,89.6
1784473845.5747676,Maxim9012,Windows,5.0,17.9,59.2,1.1,297,144,0,5090,3035,218,91,53,49,41,38,4583.8,5984.4,32.8,42.2
1784473871.3072488,Maxim9012,Windows,5.0,13.7,58.0,1.1,296,143,0,5035,3023,222,90,53,49,41,38,8521.4,17661.8,48.6,63.2
1784473897.1719525,Maxim9012,Windows,5.0,17.6,59.3,1.1,301,148,6,5092,3089,221,90,53,50,41,38,4584.0,5385.0,30.4,39.0
1784473923.3574755,Maxim9012,Windows,5.0,13.6,58.0,1.1,295,142,0,5058,3023,219,90,53,50,41,38,4274.4,4799.0,26.4,33.6
1784473948.7872663,Maxim9012,Windows,5.0,16.0,59.4,1.1,300,147,5,5143,3080,222,90,53,50,41,38,5091.2,10406.0,36.6,52.6
1784473975.1915195,Maxim9012,Windows,5.0,14.9,59.2,1.1,296,142,1,5036,3023,222,90,53,50,41,38,4114.0,4098.4,27.4,36.0
1784474000.6776087,Maxim9012,Windows,5.0,13.0,58.0,1.1,296,142,0,5043,3035,213,90,53,48,41,38,7828.0,10598.8,42.8,54.2
1784474026.6144183,Maxim9012,Windows,5.0,17.9,59.2,1.1,298,144,2,5098,3053,213,90,53,48,41,38,4376.8,7127.2,29.4,44.6
1784474052.451728,Maxim9012,Windows,5.0,14.0,58.0,1.1,296,142,0,5018,3023,216,92,53,51,41,38,5499.0,7117.6,36.4,45.4
1784474078.5132225,Maxim9012,Windows,5.0,16.3,59.3,1.1,299,146,4,5114,3071,213,90,53,48,41,38,14672.6,4506.0,57.0,33.6
1784474104.744454,Maxim9012,Windows,5.0,14.3,58.1,1.1,294,142,0,5007,3023,215,89,53,48,41,38,16452.0,13241.0,62.0,61.2
1784474130.3217614,Maxim9012,Windows,5.0,15.9,59.7,1.1,299,147,5,5090,3079,218,91,53,50,43,40,19337.0,39158.6,75.6,87.8
1784474156.9626265,Maxim9012,Windows,5.0,16.4,59.3,1.1,294,142,0,4997,3022,220,92,53,52,43,40,6099.2,13078.2,36.4,50.4
1784474182.6708283,Maxim9012,Windows,5.0,14.0,58.1,1.1,294,142,0,4997,3034,215,90,53,50,43,40,5102.4,4763.6,29.6,38.6
1784474208.5936174,Maxim9012,Windows,5.0,17.2,59.2,1.1,295,143,1,5027,3043,216,91,53,51,43,40,4848.4,5336.6,27.2,35.6
1784474234.3415098,Maxim9012,Windows,5.0,13.9,58.1,1.1,294,142,0,4979,3022,214,91,53,49,43,40,5023.6,6810.8,37.2,46.2
1784474260.1878963,Maxim9012,Windows,5.0,16.0,58.9,1.1,298,146,4,5055,3070,213,88,53,48,42,39,2431.2,3621.4,18.8,30.8
1784474286.194692,Maxim9012,Windows,5.0,13.4,57.8,1.1,295,142,1,4986,3022,213,89,53,49,42,39,5279.4,6453.4,28.4,37.0
1784474311.5018213,Maxim9012,Windows,5.0,16.5,59.0,1.1,300,147,5,5065,3079,213,89,53,49,41,38,6764.2,8232.8,42.0,55.8
1784474337.5488133,Maxim9012,Windows,5.0,14.5,59.1,1.1,294,142,0,4981,3022,211,88,53,48,41,38,3206.8,4478.6,24.6,30.4
